realEstate_roadAddress,realEstate_areaNumberAddress,jeonse_monthlyRent_type,realEstate_deposit,realEstate_monthly_payment,realEstate_room_size,realEstate_space_type,realEstate_occupancy_periods,realEstate_window_direction,realEstate_elevator,realEstate_building_type,realEstate_built_date
unknown,서울특별시 광진구 중곡동,,10000000,600000,"36.36㎡
평",투룸,즉시 입주,동,,단독주택,1996.07.01
unknown,서울특별시 광진구 중곡동,,5000000,450000,"36.36㎡/36.36㎡
평",투룸,즉시 입주,남,,단독주택,1992.02.14
서울특별시 광진구 긴고랑로12길 25 (중곡동),"서울특별시 광진구 중곡동 242-38, 1동",,50000000,400000,"33㎡
평",원룸(주방 분리형(1.5룸)),2023.06.15,남,,제2종근린생활시설,2017.06.26
unknown,서울특별시 광진구 중곡동,,30000000,800000,"53㎡
평",쓰리룸 이상,즉시 입주,남,,단독주택,1972.10.10
unknown,서울특별시 광진구 중곡동,,5000000,300000,"16.52㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,서,,단독주택,1996.07.01
unknown,서울특별시 광진구 중곡동,,120000000,300000,"46.28㎡
평",투룸,2023.06.30 (협의 가능),북,,단독주택,1993.09.23
unknown,서울특별시 광진구 중곡동,,30000000,450000,"19.83㎡
평",원룸(주방 분리형(1.5룸)),2023.06.19,남,,단독주택,2009.02.09
unknown,서울특별시 광진구 중곡동,,100000000,1200000,"98㎡
평",쓰리룸 이상,즉시 입주,동,,단독주택,2004.06.09
서울특별시 광진구 긴고랑로22길 11-12 (중곡동),서울특별시 광진구 중곡동 150-235,,50000000,750000,"11㎡
평",투룸,즉시 입주 (협의 가능),동,,단독주택,1993.11.04
서울특별시 광진구 면목로 67 (중곡동),서울특별시 광진구 중곡동 628-15,,50000000,800000,"42.97㎡
평",투룸,2023.07.17 (협의 가능),남,,단독주택,2013.04.30
"서울특별시 광진구 긴고랑로25길 15 (중곡동, 아름빌)",서울특별시 광진구 중곡동 149-47,,260000000,400000,"85.95㎡
평",쓰리룸 이상,2023.04.30 (협의 가능),북동,,공동주택,2020.04.09
"서울특별시 광진구 자양로53길 79 (중곡동, 대성예가)","서울특별시 광진구 중곡동 90-12, 101동",,100000000,2000000,"58.41㎡
평",쓰리룸 이상,즉시 입주,남동,,공동주택,2021.09.03
서울특별시 광진구 긴고랑로22길 11-12 (중곡동),서울특별시 광진구 중곡동 150-235,,50000000,750000,"33.05㎡
평",투룸,즉시 입주,동,,단독주택,1993.11.04
unknown,서울특별시 광진구 중곡동,,70000000,200000,"40㎡/67.85㎡
평",투룸(주방 분리형(1.5룸)),2023.06.30 (협의 가능),서,,단독주택,1993.06.11
"서울특별시 광진구 긴고랑로19길 45 (중곡동, 서원주택)",서울특별시 광진구 중곡동 33-53,,50000000,670000,"20.18㎡
평",원룸(주방 분리형(1.5룸)),2023.06.30 (협의 가능),남서,,공동주택,2013.12.20
서울특별시 광진구 천호대로119길 39 (중곡동),서울특별시 광진구 중곡동 129-13,,20000000,750000,"33.05㎡
평",투룸,2023.04.30 (협의 가능),남동,,공동주택,2013.05.03
서울특별시 광진구 긴고랑로26길 44 (중곡동),서울특별시 광진구 중곡동 53-24,,50000000,1200000,"29.82㎡/39.66㎡
평",투룸,2023.04.30 (협의 가능),남동,,공동주택,2022.10.20
"서울특별시 광진구 용마산로12길 11 (중곡동, 수빌리지)",서울특별시 광진구 중곡동 147-32,,30000000,1100000,"33.05㎡
평",투룸,즉시 입주,남,,공동주택,2023.01.30
서울특별시 광진구 동일로70길 52 (중곡동),서울특별시 광진구 중곡동 240-16,,50000000,800000,"36.36㎡/36.36㎡
평",원룸(주방 분리형(1.5룸)),2023.07.01 (협의 가능),남동,,단독주택,2015.12.14
unknown,"서울특별시 광진구 중곡동 150-253, 302호동",,20000000,500000,"30㎡
평",원룸,2023.06.30 (협의 가능),북동,,공동주택,2005.06.03
서울특별시 광진구 긴고랑로4길 46-3 (중곡동),서울특별시 광진구 중곡동 253-41,,100000000,650000,"29.93㎡/42.97㎡
평",투룸,2023.08.21,서,,단독주택,2016.11.18
서울특별시 광진구 긴고랑로29길 71 (중곡동),서울특별시 광진구 중곡동 35-15,,85000000,500000,"36.36㎡
평",투룸,2023.07.10,남동,,단독주택,1997.04.29
"서울특별시 광진구 영화사로9길 6 (중곡동, 동산그린빌)","서울특별시 광진구 중곡동 104-45, 2동",,50000000,1200000,"83.7㎡
평",쓰리룸 이상,2023.06.20 (협의 가능),남,,공동주택,2002.12.24
서울특별시 광진구 면목로 67 (중곡동),서울특별시 광진구 중곡동 628-15,,50000000,800000,"39.66㎡
평",투룸,2023.06.30 (협의 가능),북동,,제2종근린생활시설,2013.04.30
서울특별시 광진구 능동로 333-1 (중곡동),서울특별시 광진구 중곡동 647-23,,5000000,650000,"19.83㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,동,,제2종근린생활시설,1989.04.21
서울특별시 광진구 능동로48가길 9 (중곡동),서울특별시 광진구 중곡동 35-38,,20000000,450000,"36.36㎡/42.97㎡
평",투룸,2023.07.25,서,,단독주택,1995.06.01
서울특별시 광진구 능동로48길 50-10 (중곡동),서울특별시 광진구 중곡동 37-20,,50000000,500000,"39.66㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,남동,,단독주택,2019.03.20
서울특별시 광진구 긴고랑로10길 52 (중곡동),서울특별시 광진구 중곡동 257-29,,200000000,300000,"41.52㎡
평",투룸,2023.06.30 (협의 가능),남,,공동주택,2013.08.02
서울특별시 광진구 긴고랑로22길 11-22 (중곡동),서울특별시 광진구 중곡동 150-227,,20000000,770000,"39.66㎡
평",투룸,2023.07.30 (협의 가능),동,,단독주택,2005.06.27
서울특별시 광진구 면목로12길 17 (중곡동),서울특별시 광진구 중곡동 170-46,,10000000,700000,"33.05㎡
평",원룸(주방 분리형(1.5룸)),2023.06.25 (협의 가능),남서,,공동주택,2003.02.20
서울특별시 광진구 동일로76길 43 (중곡동),서울특별시 광진구 중곡동 694-4,,10000000,500000,"21㎡/21㎡
평",원룸,즉시 입주 (협의 가능),북,,단독주택,2006.06.02
서울특별시 광진구 동일로76나길 4 (중곡동),서울특별시 광진구 중곡동 695-6,,130000000,100000,"29.75㎡/33.05㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),서,,단독주택,2019.04.24
서울특별시 광진구 자양로26길 91-11 (구의동),서울특별시 광진구 구의동 222-47,,20000000,850000,"39.66㎡
평",투룸,즉시 입주,남동,,단독주택,1990.12.05
서울특별시 광진구 광나루로40길 48-6 (구의동),서울특별시 광진구 구의동 239-4,,130000000,100000,"26.44㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,남서,,단독주택,1996.12.28
서울특별시 광진구 광나루로40길 48-4 (구의동),서울특별시 광진구 구의동 239-3,,5000000,500000,"33.05㎡
평",투룸,즉시 입주,남동,,단독주택,1991.07.30
,,,,,,,,,,,
"서울특별시 광진구 자양로22길 74-7 (구의동, 온세하이츠빌)",서울특별시 광진구 구의동 242-25,,350000000,60000,"59.5㎡
평",쓰리룸 이상,2023.07.30 (협의 가능),동,,공동주택,2017.09.29
서울특별시 광진구 아차산로53길 52 (구의동),서울특별시 광진구 구의동 257-90,,20000000,950000,"33.05㎡
평",원룸(주방 분리형(1.5룸)),2023.05.31 (협의 가능),남동,,단독주택,2020.11.20
서울특별시 광진구 자양로26길 61-14 (구의동),서울특별시 광진구 구의동 240-19,,80000000,150000,"19.83㎡/23.14㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),동,,단독주택,1997.12.17
서울특별시 광진구 아차산로61길 24 (구의동),서울특별시 광진구 구의동 210-63,,20000000,600000,"23.14㎡
평",원룸(주방 분리형(1.5룸)),2023.07.03 (협의 가능),동,,단독주택,2008.08.22
서울특별시 광진구 아차산로51길 36-10 (구의동),서울특별시 광진구 구의동 257-60,,5000000,400000,"23㎡/23㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,서,,단독주택,1989.12.29
서울특별시 광진구 아차산로53길 60 (구의동),서울특별시 광진구 구의동 248-43,,20000000,750000,"38.28㎡/42.97㎡
평",투룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),남,,공동주택,1986.09.22
"서울특별시 광진구 자양로29길 21 (구의동, 현대빌라)",서울특별시 광진구 구의동 634-4,,10000000,450000,"39.84㎡
평",투룸,즉시 입주,남동,,공동주택,1993.03.05
서울특별시 광진구 광나루로40길 43 (구의동),서울특별시 광진구 구의동 225-18,,50000000,1200000,"66.11㎡/82.64㎡
평",쓰리룸 이상,2023.05.31,남서,,공동주택,2015.07.24
서울특별시 광진구 자양로28가길 18 (구의동),서울특별시 광진구 구의동 237-26,,230000000,300000,"42.97㎡
평",투룸,즉시 입주 (협의 가능),서,,단독주택,2018.07.30
서울특별시 광진구 자양로18길 26 (구의동),서울특별시 광진구 구의동 246-8,,2100000,650000,"21㎡/21㎡
평",원룸,2023.06.30 (협의 가능),동,,제2종근린생활시설,1991.09.19
서울특별시 광진구 아차산로61길 24 (구의동),서울특별시 광진구 구의동 210-63,,200000000,200000,"46㎡
평",투룸,2023.06.17 (협의 가능),동,,단독주택,2008.08.22
unknown,서울특별시 광진구 구의동,,200000000,500000,"62.2㎡/62.2㎡
평",쓰리룸 이상,즉시 입주 (협의 가능),남,,단독주택,1974.12.07
서울특별시 광진구 광나루로40길 63 (구의동),서울특별시 광진구 구의동 225-37,,30000000,850000,"69.42㎡/72.72㎡
평",쓰리룸 이상,즉시 입주,남,,제2종근린생활시설,1996.07.13
unknown,서울특별시 광진구 구의동,,5000000,500000,"19.83㎡
평",원룸,2023.05.31,북서,,단독주택,1989.12.15
서울특별시 광진구 아차산로51길 66 (구의동),서울특별시 광진구 구의동 248-137,,120000000,350000,"66.11㎡
평",투룸,2023.05.25 (협의 가능),북동,,공동주택,1989.07.15
서울특별시 광진구 자양로22길 84 (구의동),서울특별시 광진구 구의동 242-104,,20000000,800000,"26.44㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,동,,단독주택,2011.08.04
unknown,"서울특별시 광진구 구의동 204-15, 102동",,120000000,700000,"36.86㎡
평",쓰리룸 이상,즉시 입주 (협의 가능),남서,,공동주택,2020.10.07
서울특별시 광진구 아차산로51길 36-10 (구의동),서울특별시 광진구 구의동 257-60,,5000000,400000,"33.05㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),동,,단독주택,1989.12.29
서울특별시 광진구 광나루로40길 63 (구의동),서울특별시 광진구 구의동 225-37,,20000000,750000,"39.66㎡/59.5㎡
평",투룸,2023.06.05,남서,,단독주택,1996.04.13
서울특별시 광진구 자양로 178 (구의동),서울특별시 광진구 구의동 236-48,,50000000,400000,"19.8㎡/19.8㎡
평",원룸,2023.05.22 (협의 가능),남,,제2종근린생활시설,2011.10.10
서울특별시 광진구 자양로28가길 18 (구의동),서울특별시 광진구 구의동 237-26,,230000000,300000,"76.48㎡
평",투룸,즉시 입주 (협의 가능),남서,,단독주택,2018.07.30
서울특별시 광진구 구의로11길 29-1 (구의동),서울특별시 광진구 구의동 231-27,,50000000,1000000,"42.97㎡
평",투룸,즉시 입주,남,,단독주택,2022.07.11
서울특별시 광진구 자양로32길 74 (구의동),서울특별시 광진구 구의동 231-1,,80000000,400000,"42.97㎡/49.58㎡
평",투룸,즉시 입주 (협의 가능),동,,단독주택,1992.07.21
서울특별시 광진구 아차산로78길 57 (광장동),서울특별시 광진구 광장동 106,,50000000,2000000,"74.43㎡
평",쓰리룸 이상,즉시 입주,남,,공동주택,2022.10.11
"서울특별시 광진구 아차산로75길 13 (광장동, 금탑빌라)",서울특별시 광진구 광장동 249-1,,150000000,700000,"52.89㎡/59.5㎡
평",쓰리룸 이상,2023.06.10 (협의 가능),남서,,공동주택,1996.06.10
unknown,서울특별시 광진구 광장동 272-21,,20000000,950000,"66.11㎡/76.03㎡
평",쓰리룸 이상,즉시 입주,남,,단독주택,1975.11.22
서울특별시 광진구 아차산로78길 57 (광장동),서울특별시 광진구 광장동 106,,50000000,1900000,"70.08㎡/100.75㎡
평",쓰리룸 이상(주방 분리형(1.5룸)),즉시 입주,남서,,업무시설,2022.10.11
unknown,서울특별시 광진구 광장동,,30000000,750000,"36.36㎡
평",투룸,2023.07.06 (협의 가능),남서,,단독주택,1991.05.20
서울특별시 광진구 아차산로78길 75 (광장동),서울시 광진구 광장동 102,,1400000,1400000,,,,,,,
unknown,서울특별시 광진구 화양동,,15000000,800000,"36.36㎡
평",투룸,즉시 입주 (협의 가능),동,,단독주택,1990.07.09
서울특별시 광진구 아차산로27길 15 (화양동),서울특별시 광진구 화양동 46-7,,10000000,400000,"16.52㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),남,,단독주택,1986.05.15
unknown,서울특별시 광진구 화양동,,5000000,600000,"19.83㎡
평",원룸,2023.06.09 (협의 가능),남,,단독주택,1993.09.28
서울특별시 광진구 아차산로25길 70-4 (화양동),서울특별시 광진구 화양동 35-52,,5000000,530000,"19.83㎡
평",원룸,2023.06.20 (협의 가능),남동,,단독주택,1990.12.29
서울특별시 광진구 아차산로23길 52 (화양동),서울특별시 광진구 화양동 36-19,,5000000,650000,"18㎡/19㎡
평",원룸,2023.06.18,남서,,단독주택,2011.07.27
서울특별시 광진구 군자로6길 45 (화양동),서울특별시 광진구 화양동 99,,30000000,450000,"18㎡
평",원룸,2023.06.16 (협의 가능),북,,제2종근린생활시설,2014.08.18
서울특별시 광진구 광나루로16길 25 (화양동),서울특별시 광진구 화양동 17-67,,5000000,500000,"16.52㎡/19.83㎡
평",원룸,2023.06.10 (협의 가능),동,,공동주택,2012.06.07
서울특별시 광진구 군자로3길 25-17 (화양동),서울특별시 광진구 화양동 12-48,,10000000,650000,"20.88㎡/20.88㎡
평",원룸(주방 분리형(1.5룸)),2023.07.01 (협의 가능),서,,공동주택,
unknown,서울특별시 광진구 화양동,,5000000,350000,"13.22㎡/13.22㎡
평",원룸,2023.05.02,동,,단독주택,1990.09.05
서울특별시 광진구 아차산로21길 95 (화양동),서울특별시 광진구 화양동 24-45,,3000000,530000,"19.8㎡/19.8㎡
평",원룸(주방 분리형(1.5룸)),2023.04.25 (협의 가능),남서,,단독주택,1989.06.26
서울특별시 광진구 아차산로23길 52 (화양동),서울특별시 광진구 화양동 36-19,,5000000,650000,"19.8㎡
평",원룸,2023.05.21 (협의 가능),남서,,단독주택,2011.07.29
서울특별시 광진구 광나루로16길 7-5 (화양동),서울특별시 광진구 화양동 17-14,,20000000,1100000,"33.05㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,남서,,공동주택,2012.01.27
서울특별시 광진구 동일로24길 37 (화양동),서울특별시 광진구 화양동 36-47,,5000000,570000,"23.14㎡/24㎡
평",원룸,2023.06.10,남,,단독주택,1997.12.27
서울특별시 광진구 아차산로33길 28-6 (화양동),서울특별시 광진구 화양동 5-58,,5000000,480000,"19.8㎡/19.8㎡
평",원룸,2023.06.20 (협의 가능),남,,단독주택,1991.10.18
서울특별시 광진구 아차산로27길 43 (화양동),서울특별시 광진구 화양동 35-26,,10000000,500000,"22㎡/22㎡
평",원룸,2023.06.30 (협의 가능),남동,,단독주택,2010.04.06
서울특별시 광진구 아차산로27길 50-6 (화양동),서울특별시 광진구 화양동 34-29,,5000000,550000,"23.14㎡/54.66㎡
평",원룸(주방 분리형(1.5룸)),2023.07.03,남,,공동주택,1988.02.26
서울특별시 광진구 광나루로14길 34 (화양동),서울특별시 광진구 화양동 20-47,,5000000,600000,"22㎡/22㎡
평",원룸,2023.06.12,남동,,제2종근린생활시설,2010.01.18
unknown,서울특별시 광진구 화양동,,5000000,700000,"26.44㎡
평",원룸(주방 분리형(1.5룸)),2023.06.16,남,,단독주택,1990.11.10
서울특별시 광진구 아차산로21길 60-12 (화양동),서울특별시 광진구 화양동 37-14,,10000000,550000,"19.82㎡
평",원룸,2023.06.30,북동,,단독주택,2018.06.07
서울특별시 광진구 군자로6길 24 (화양동),서울특별시 광진구 화양동 75-2,,100000000,200000,"26.44㎡/26.44㎡
평",원룸(복층),2023.06.24 (협의 가능),남,,제2종근린생활시설,2021.08.27
서울특별시 광진구 광나루로16길 7-5 (화양동),서울특별시 광진구 화양동 17-14,,10000000,600000,"23.14㎡/26.44㎡
평",원룸,2023.06.10 (협의 가능),동,,공동주택,2012.01.27
서울특별시 광진구 군자로6길 22 (화양동),서울특별시 광진구 화양동 75-3,,50000000,300000,"16.52㎡
평",원룸,2023.06.10 (협의 가능),남서,,제2종근린생활시설,2016.07.27
서울특별시 광진구 아차산로33길 67-10 (화양동),서울특별시 광진구 화양동 12-23,,5000000,400000,"16㎡
평",원룸,2023.06.27,서,,단독주택,1994.03.24
서울특별시 광진구 아차산로25길 32-4 (화양동),서울특별시 광진구 화양동 46-83,,5000000,400000,"19.83㎡/19.83㎡
평",원룸,즉시 입주,남,,단독주택,1989.12.15
unknown,서울특별시 광진구 화양동,,10000000,550000,"19.83㎡
평",원룸(주방 분리형(1.5룸)),2023.08.01,남,,단독주택,1994.05.14
서울특별시 광진구 군자로6길 51 (화양동),서울특별시 광진구 화양동 98-1,,25000000,550000,"23.14㎡/26.44㎡
평",원룸,2023.07.13 (협의 가능),서,,공동주택,2013.07.16
"서울특별시 광진구 동일로52길 13 (군자동, 풍국빌라)",서울특별시 광진구 군자동 117-24,,80000000,450000,"26.44㎡
평",원룸,2023.04.30,남동,,단독주택,2010.01.14
서울특별시 광진구 면목로3길 36 (군자동),서울특별시 광진구 군자동 160-3,,15000000,700000,"29.75㎡
평",원룸,2023.03.01,남동,,단독주택,2002.04.24
"서울특별시 광진구 동일로52길 13 (군자동, 풍국빌라)",서울특별시 광진구 군자동 117-24,,20000000,600000,"26.44㎡/26.44㎡
평",원룸,2023.05.20 (협의 가능),북서,,단독주택,2016.10.26
서울특별시 광진구 동일로38길 26 (군자동),서울특별시 광진구 군자동 345-3,,100000000,1000000,"71.78㎡/81.93㎡
평",쓰리룸 이상(주방 분리형(1.5룸)),2023.08.10 (협의 가능),북동,,공동주택,2008.11.12
"서울특별시 광진구 동일로52길 13 (군자동, 풍국빌라)",서울특별시 광진구 군자동 117-24,,10000000,650000,"26.54㎡/32.98㎡
평",원룸,즉시 입주 (협의 가능),남동,,공동주택,2010.01.14
"서울특별시 광진구 능동로31길 23 (군자동, 송정지가)",서울특별시 광진구 군자동 475-9,,210000000,50000,"42㎡
평",투룸,2023.07.12 (협의 가능),남,,공동주택,2015.09.17
서울특별시 광진구 동일로52길 26 (군자동),서울특별시 광진구 군자동 116-2,,20000000,600000,"39.66㎡/42.97㎡
평",투룸,2023.06.24,북,,단독주택,1995.10.05
서울특별시 광진구 면목로3길 36 (군자동),"서울특별시 광진구 군자동 160-3, 1동",,15000000,700000,"24㎡
평",원룸,즉시 입주 (협의 가능),남,,단독주택,2002.04.24
,,,,,,,,,,,
서울특별시 광진구 면목로1길 18 (군자동),서울특별시 광진구 군자동 62-7,,150000000,500000,"46.28㎡
평",투룸,2023.07.25,남서,,단독주택,2013.08.08
서울특별시 광진구 광나루로13길 4 (군자동),서울특별시 광진구 군자동 356-5,,10000000,550000,"19.83㎡/20㎡
평",원룸,즉시 입주,남동,,제2종근린생활시설,2015.11.12
서울특별시 광진구 동일로56가길 7 (군자동),서울특별시 광진구 군자동 143-13,,5000000,450000,"18㎡/18㎡
평",원룸,2023.02.18,남동,,단독주택,1987.12.08
"서울특별시 광진구 동일로52길 13 (군자동, 풍국빌라)","서울특별시 광진구 군자동 117-24, 101동",,20000000,600000,"26.54㎡/32.98㎡
평",원룸,즉시 입주,남서,,공동주택,2010.01.14
서울특별시 광진구 면목로3길 36 (군자동),서울특별시 광진구 군자동 160-3,,15000000,700000,"28.9㎡/115.7㎡
평",원룸,즉시 입주,남,,단독주택,2002.04.24
서울특별시 광진구 동일로56길 51 (군자동),서울특별시 광진구 군자동 60-61,,3000000,300000,"18㎡
평",원룸,즉시 입주,남동,,단독주택,1989.05.23
unknown,서울특별시 광진구 군자동,,100000000,300000,"69.42㎡
평",쓰리룸 이상,2023.06.12 (협의 가능),남동,,단독주택,1997.09.11
서울특별시 광진구 군자로15길 17-3 (군자동),서울특별시 광진구 군자동 146-6,,70000000,700000,"33㎡
평",쓰리룸 이상,즉시 입주,남,,단독주택,1970.12.03
서울특별시 광진구 동일로42길 20 (군자동),서울특별시 광진구 군자동 341-22,,90000000,100000,"42.97㎡
평",투룸,즉시 입주,남동,,단독주택,1991.08.17
서울특별시 광진구 능동로25길 44-5 (군자동),서울특별시 광진구 군자동 88-20,,200000000,400000,"46.28㎡
평",투룸,2023.06.29,남,,단독주택,2017.07.21
"서울특별시 광진구 광나루로17길 13-3 (군자동, 아스하임)",서울특별시 광진구 군자동 361-21,,20000000,970000,"56㎡
평",투룸,즉시 입주 (협의 가능),남서,,공동주택,2022.07.21
서울특별시 광진구 동일로48길 14-6 (군자동),서울특별시 광진구 군자동 125-180,,5000000,450000,"23.14㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,동,,단독주택,1994.03.18
서울특별시 광진구 능동로21길 40 (군자동),서울특별시 광진구 군자동 286,,10000000,650000,"49.58㎡
평",투룸,즉시 입주,남서,,단독주택,1996.11.25
서울특별시 광진구 면목로6길 1-8 (군자동),서울특별시 광진구 군자동 470-6,,100000000,400000,"29.75㎡
평",투룸,2023.06.26 (협의 가능),북서,,단독주택,1993.06.01
서울특별시 광진구 능동로29가길 20 (군자동),서울특별시 광진구 군자동 200-25,,100000000,100000,"30㎡
평",투룸,즉시 입주 (협의 가능),남,,단독주택,1989.08.17
"서울특별시 광진구 군자로10길 17 (군자동, 대명이튼캐슬)","서울특별시 광진구 군자동 504, 102동",,230000000,220000,"24.06㎡/33.59㎡
평",투룸(주방 분리형(1.5룸)),2023.07.07 (협의 가능),동,,공동주택,2019.02.08
서울특별시 광진구 능동로29가길 10-6 (군자동),서울특별시 광진구 군자동 200-31,,10000000,550000,"19.83㎡/23.14㎡
평",원룸(복층),2023.06.16 (협의 가능),서,,단독주택,1996.11.15
unknown,서울특별시 광진구 군자동,,10000000,500000,"32.3㎡/64.62㎡
평",투룸,즉시 입주,남동,,단독주택,1997.06.04
unknown,서울특별시 광진구 군자동,,10000000,600000,"42.97㎡
평",투룸,즉시 입주 (협의 가능),남,,단독주택,1996.11.25
unknown,서울특별시 광진구 군자동 157,,30000000,800000,"39.66㎡/42.97㎡
평",투룸,2023.06.09,북동,,공동주택,1993.12.29
